,업체명,소재지도로명주소,위도,경도,차고지도로명주소,자동차총보유대수
3224,이노스렌트카,인천광역시 부평구 장제로 45(부평동),37.48952037,126.728913,,122
3225,(주)브이카 대이작도지점,인천광역시 옹진군 자월면 대이작로 158,37.1721675,126.2587817,,7
3226,(주)팔도렌트카 중구지점,인천광역시 중구 축항대로290번길 134(신흥동3가),37.43749156,126.6202171,,19
3227,(주)조이렌트카 인천광역시 영업소,인천광역시 중구 축항대로87번길 30,37.458682,126.611107,인천광역시 중구 축항대로87번길 30,3964
3228,(주)우리렌트카,,35.23535506,126.8339653,전라남도 장성군 장성읍 청운2길 20-3,44
3229,(주)우일렌트카,전라남도 장성군 장성읍 역전로 109,35.30210569,126.7805341,,67
3230,(주)우일렌트카,전라남도 장성군 장성읍 역전로 109,35.30210569,126.7805341,,67
3231,(주)길동무,전라남도 장성군 장성읍 영천로 156,35.29952397,126.7816689,,28
3232,동부렌트카 장흥영업소,전라남도 장흥군 장흥읍 제암산길 98-10,34.690068,126.928232,전라남도 장흥군 장흥읍 제암산길 98-10,9
3233,(주)태경렌트카 강진영업소,,34.63441379,126.7625546,,99
3234,(유)동부렌트카,전라남도 고흥군 고흥읍 봉동주공길 76-19,34.601926,127.2934535,전라남도 고흥군 고흥읍 봉동주공길 76-19,18
3235,(유)하나렌트카,전라남도 고흥군 고흥읍 봉동주공길 6,34.60696769,127.2882272,,8
3236,롯데렌탈(주) 광양 영업소,전라남도 광양시 백운로 1103,34.939856,127.688583,전라남도 광양시 백운로 1103,102
3237,에스케이렌터카(주) 광양 영업소,전라남도 광양시 백운로 1114,34.938923,127.689825,전라남도 광양시 백운로 1114,15
3238,(주)천지렌트카 광양영업소,전라남도 광양시 중마청룡길 6(중동),34.940196,127.698912,전라남도 광양시 백운로 1269(마동),2
3239,에스케이렌터카(주) 나주 영업소,전라남도 나주시 건재로 176-22,35.048976,126.723026,전라남도 나주시 건재로 176,1
3240,(주)신성렌트카,전라남도 나주시 대호길 76-8,35.04419861,126.7179138,,151
3241,(주)쏘카(나주영업소),경상북도 김천시 혁신6로 17,36.12454376,128.1837304,전라남도 나주시 그린로 321,13
3242,(주)쏘카 나주영업소,,35.0220292,126.7870818,전라남도 나주시 그린로 321,13
3243,독도렌트카(주) 나주영업소,전라남도 나주시 왕건길 33-8,35.017461,126.7120657,,29
3244,(주)다원렌트카 나주영업소,전라남도 나주시 나주로 39,35.02265941,126.7151922,,5
3245,(유)탑스렌터카,전라남도 나주시 산포면 산포로 468-5,35.03954266,126.8039733,,12
3246,(유)탑스렌트카 나주영업소,전라남도 나주시 산포면 산포로 468-5,35.03954266,126.8039733,,19
3247,(주)대현렌트카 나주영업소,"전라남도 나주시 산포면 산남로 137, 2동 301호",35.04557513,126.8278598,,75
3248,롯데렌탈(주) 나주 영업소,전라남도 나주시 산포면 산포로 395,35.033653,126.8048798224,전라남도 나주시 산포면 산포로 395,0
3249,( 유)금오렌터카,전라남도 나주시 산포면 산포로 468-4,35.0393066,126.8037516,,96
3250,(주)에스렌트카,,,,,126
3251,(주)일구구사투어렌트카,"전라남도 나주시 한빛로 21, 에이원빌딩",35.02347111,126.7791956,전라남도 나주시 한빛로 21,17
3252,(주)쏘카(여수영업소),경상북도 김천시 혁신6로 17,36.12454376,128.1837304,,80
3253,롯데렌탈(주) 여수 영업소,전라남도 여수시 덕충안길 90,34.753295,127.745716,전라남도 여수시 덕충안길 90,683
3254,삼일렌트카 미평영업소,전라남도 여수시 둔덕4길 6-12,34.767757,127.700747,전라남도 여수시 둔덕4길 6-12,0
3255,롯데렌탈(주) 목포 영업소,전라남도 목포시 백년대로 272,34.802412,126.418111,전라남도 목포시 백년대로 272,384
3256,(유)탑스렌터카,전라남도 목포시 산정로 146,34.80156894,126.3930505,전라남도 목포시 산정동 1044-152,2
3257,(주)지엠물류 목포영업소,전라남도 목포시 양을로 17(산정동),34.800639,126.378881,전라남도 목포시 삼학로 140(산정동),16
3258,(주)쏘카(목포영업소),경상북도 김천시 혁신6로 17,36.12454376,128.1837304,,53
3259,(주)쏘카(무안영업소),경상북도 김천시 혁신6로 17,36.12454376,128.1837304,,0
3260,삼일렌트카 목표영업소,전라남도 목포시 양을로 534,34.81056117,126.4236804886,전라남도 목포시 양을로 534,4
3261,에스케이렌터카(주) 목포 영업소,전라남도 목포시 영산로 106,34.791839,126.386287,전라남도 목포시 영산로 106,5
3262,동부렌트카 동여수영업소,전라남도 여수시 미평 10길 32,34.76794978,127.7064511,전라남도 여수시 미평 10길 32,9
3263,(주)레저가온,전라남도 보성군 조성면 수당길 42,34.81271391,127.2500581,,50
